,swath_overlap,master,center_lat,center_lon,center_time,center_range,az_pix,heading,incidence,dfDC,ka,tecs_A,tecs_B,Hiono,ITRF_N,ITRF_E,ITRF_RMSE_E,ITRF_RMSE_N,GPS_N,GPS_E,GPS_RMSE_E,GPS_RMSE_N,slope_plates_vel_azi_itrf2014,slope_plates_vel_azi_gps,count_all,daz_bovl_RMSE_selection,daz_bovl_count_selection,daz_bovl_RMSE_full,slope_daz_bovl_mmyear,intercept_daz_bovl_mmyear,daz_bovl_RMSE_mmy_full,daz_bovl_RMSE_mmy_full_error_multi,daz_bovl_noiono_RMSE_selection,daz_bovl_noiono_count_selection,daz_bovl_noiono_RMSE_full,slope_daz_bovl_noiono_mmyear,intercept_daz_bovl_noiono_mmyear,daz_bovl_noiono_RMSE_mmy_full,daz_bovl_noiono_RMSE_mmy_full_error_multi,daz_bovl_notide_RMSE_selection,daz_bovl_notide_count_selection,daz_bovl_notide_RMSE_full,slope_daz_bovl_notide_mmyear,intercept_daz_bovl_notide_mmyear,daz_bovl_notide_RMSE_mmy_full,daz_bovl_notide_RMSE_mmy_full_error_multi,daz_bovl_notide_noiono_RMSE_selection,daz_bovl_notide_noiono_count_selection,daz_bovl_notide_noiono_RMSE_full,slope_daz_bovl_notide_noiono_mmyear,intercept_daz_bovl_notide_noiono_mmyear,daz_bovl_notide_noiono_RMSE_mmy_full,daz_bovl_notide_noiono_RMSE_mmy_full_error_multi
18,1-19,2020-09-05,41.948156,73.13142,12:59:16.186640,824661.3949,13.96611,-10.704868454,33.7854666379,4797.773650425647,-2255.710554885009,8.90266526696352e+16,8.881513839153218e+16,450.0,2.36,28.715555555555557,0.0447524052736582,0.1991858428704208,6.4945,28.77683333333333,0.4892285423671295,1.906610474113682,-3.0149885822456617,1.0361764298886946,206,20.174188579483214,131,49.59802797380342,3.151640096260716,-11.91924866970312,1.7018855067172927,6.709511006456183,19.763779904606302,131,50.2481765710927,5.21335256417165,-5.2314530606267455,1.7241944274575165,6.797461663922817,23.606942768634664,137,54.22408729639157,3.009165866917658,-2.314954032148651,1.8606221266184897,7.335314031484082,22.30021802082676,131,53.97072836558991,4.808203564259583,1.4986831051971805,1.8519284766903885,7.3010401983450794
19,1-20,2020-09-05,42.113733,73.089423,12:59:18.944917,824661.3949,13.96611,-10.706688736,33.8400827229,4797.773650425647,-2255.710554885009,8.877513657716522e+16,8.856178076372176e+16,450.0,2.2675,28.69125,0.0656124988092973,0.265040877350394,6.4945,28.77683333333333,0.4892285423671295,1.906610474113682,-3.102273081695865,1.0352397765343762,206,19.06768589014484,131,49.733356760331155,1.8799014457330194,-7.077162465404698,1.7065291207850726,6.72781798396702,19.649948570844295,131,50.18797713197418,3.961257197807201,-4.26585245399257,1.7221287696656042,6.789318017575396,21.011860916518394,131,53.81725601245299,1.4421452457021051,1.3092820124720335,1.8466622920424127,7.2802787994623905,21.08404677310565,130,53.38949397088994,3.2638619458122946,4.705019022652329,1.8319842484063944,7.222412101062056
20,1-21,2020-09-05,42.279298,73.047305,12:59:21.703193,824661.3949,13.96611,-10.7092991388,33.8259637544,4797.773650425647,-2255.710554885009,8.844923079604029e+16,8.823449427629498e+16,450.0,2.382222222222222,28.69333333333333,0.0492442890089797,0.1963273909683628,5.3305,29.057250000000003,0.233261477030964,0.5715432325438439,-2.991239764089275,-0.1619383846773781,206,17.46219830187683,129,48.49485058796107,4.459378746139559,-16.64497436785818,1.6640315499975704,6.560275621204733,19.81256119708185,132,50.458960803885844,7.029159631307379,-11.457290318755842,1.7314271874177483,6.825976086525668,23.080643901799537,139,52.510871317883776,4.015596745250082,-4.540303629764757,1.8018355666923758,7.103553981058166,23.453067850649227,134,53.48693292958988,6.554290078923833,-4.23085872840374,1.8353277271368003,7.235593426863964
21,1-22,2020-09-05,42.444853,73.005065,12:59:24.461470,824661.3949,13.96611,-10.7123086068,33.7733499426,4797.773650425647,-2255.710554885009,8.808397117470984e+16,8.786808458799803e+16,450.0,2.295,28.68916666666667,0.0501739398734465,0.2685821357357255,5.3305,29.057250000000003,0.233261477030964,0.5715432325438439,-3.0776715829664,-0.1634900657215405,206,17.937544286665844,133,49.82104009039381,0.7599092724393312,1.900323321995395,1.7095378490492827,6.739679590006051,17.75524257264889,126,51.130726116896824,3.832857530818543,5.47486045342829,1.7544778548905022,6.916851005257987,22.49766786621134,135,54.13370740666521,0.47501344138005575,14.624850763317326,1.8575208697599677,7.323087640846099,23.200176151527288,135,54.53718953809695,3.116503575616051,14.647017388399876,1.8713657829501729,7.377669806959227
22,1-23,2020-09-05,42.610418,72.962875,12:59:27.219747,824661.3949,13.96611,-10.71491825,33.7640696264,4797.773650425647,-2255.710554885009,8.775903365186832e+16,8.754172550394656e+16,450.0,2.41,28.642499999999995,0.068506801254925,0.1961446590471615,5.3305,29.057250000000003,0.233261477030964,0.5715432325438439,-2.9573036495824705,-0.1648355968210708,206,17.76640244755748,131,55.28627825726295,0.7302531338028557,2.4226573901103645,1.8794039684136072,7.413110548261854,18.625833432811316,130,56.79334792151856,4.197999465872643,7.146123091425343,1.9306353552416076,7.6151873452036165,23.535262784222457,137,59.70712956203726,0.18269775535223054,18.63006935907756,2.0296865656124603,8.005884387861272,24.944640177087418,140,60.35690854573153,3.344258014069176,16.86156443300406,2.051775178538517,8.093010589694728
23,1-24,2020-09-05,42.776534,72.924607,12:59:29.978024,824661.3949,13.96611,-10.7149364845,33.7590572996,4797.773650425647,-2255.710554885009,8.74363097034601e+16,8.721756100847005e+16,450.0,2.41,28.65777777777778,0.0499444135459061,0.1991858428704208,5.3305,29.057250000000003,0.233261477030964,0.5715432325438439,-2.96015323550404,-0.1648449985215432,206,16.936991252789383,126,55.434818199969044,1.112866418033854,2.7092527208726116,1.9021666287188885,7.499099017606924,16.182515686843942,122,56.61742793718926,4.193643261303032,9.761940430733166,1.9427461931511993,7.659079834836437,23.62355789758588,135,59.53091119543526,0.45479487249262285,20.7580483277226,2.0427182108671107,8.053209375604714,20.873999227420004,127,59.90785947323247,3.3059501254729713,20.067554158257924,2.055652652758744,8.104202100962281
24,1-25,2020-09-05,42.942081,72.882229,12:59:32.736301,824661.3949,13.96611,-10.7181264936,33.7322388355,4797.773650425647,-2255.710554885009,8.70906808817479e+16,8.687060702007742e+16,450.0,2.325,28.653333333333336,0.0543278487657587,0.2685821357357254,4.9,29.116833333333336,0.2037237508653981,0.8005573058813467,-3.0444364376898405,-0.6005604240252618,206,18.279233011195693,129,52.93268447192536,3.371092463023262,-8.0808199931123,1.799395806539985,7.097526800062679,19.329020653208566,128,54.379276813331714,5.881389557720424,0.8549296966188242,1.848571324820762,7.291494440554113,22.719848840680203,139,56.98696110837267,2.6966157994430024,8.458194355431667,1.9372170497086567,7.641148144211864,22.892115994077965,137,57.537844180524125,4.996490458668777,11.168939108953637,1.9559437910370554,7.715013798434814
25,2-1,2020-09-05,39.16108,74.835678,12:58:27.369859,875670.65145,13.9373,-10.0352505013,39.4011937945,4024.905294436567,-2119.867689728884,1.0081102169257816e+17,1.0051171418395902e+17,450.0,1.87,28.89,0.0287228132326904,0.199185842870421,18.8335,28.322000000000003,1.844994128265273,3.810922416773486,-3.1928087095580278,13.61013844631092,206,21.500848700335982,138,52.43938402356809,4.896342545092644,-16.623470889259778,1.782626531242612,7.0313821639531,17.703903692812812,129,54.93318354923954,10.97046893652006,-26.88134269846938,1.867400852696609,7.365765525462459,23.4188234768918,138,56.387423487914994,4.543644734427774,-2.918400046268893,1.9168363437067506,7.560758600940143,18.568981410787586,128,57.67852946890122,10.286279603119711,-17.884928799795844,1.960726252392921,7.733877712377449
26,2-2,2020-09-05,39.326828,74.79795,12:58:30.128136,875670.65145,13.9373,-10.0318613116,39.3737636309,4024.905294436567,-2119.867689728884,1.0034077020930397e+17,1.0004035115073427e+17,450.0,1.7825,28.888333333333332,0.0318614424524616,0.2721004159563825,18.8335,28.322000000000003,1.844994128265273,3.810922416773486,-3.276978547195168,13.611982236543287,206,20.192200803191778,135,47.823445385536196,2.828582234186542,-9.889604402714543,1.64099323920537,6.469449417432258,18.02947769238172,128,49.357695052439084,9.331093955003142,-23.729640780673922,1.693638825702619,6.676999302927176,20.257451257507473,130,52.06987548234672,2.4976069711263147,3.0490432792581377,1.7867034243132598,7.043897044417459,19.728504973259078,128,52.43243101300287,8.82412179991714,-15.026588237546296,1.7991439996387437,7.0929427509256655
27,2-3,2020-09-05,39.492567,74.760149,12:58:32.886412,875670.65145,13.9373,-10.0289811867,39.3458269262,4024.905294436567,-2119.867689728884,9.987346897917603e+16,9.957188261095144e+16,450.0,1.9000000000000004,28.86,0.0415604707296821,0.1961446590471615,18.8335,28.322000000000003,1.844994128265273,3.810922416773486,-3.1548942671267035,13.613549047420024,206,20.283399165349714,138,52.4818481488464,3.5768659814569914,-13.547097951062767,1.784070058426557,7.037076004539701,15.974951393016301,126,55.317124758870094,9.968055651527694,-28.142685855870653,1.880452565630844,7.41724662928682,21.81676678031833,133,56.76445904901086,3.529644480941064,-3.13350089224969,1.9296533057467473,7.611313754644353,21.23449016165628,136,58.38742508339877,9.381292634440667,-18.892602646838036,1.984824478445999,7.828930621039426
